"age","maritl","race","education","jobclass","health","health_ins","salary"
18,"Never Married","White","non HS Grad","Industrial","Average","No",75.0431540173515
24,"Never Married","White","College Grad","Information","Good","No",70.4760196469445
45,"Married","White","Some College","Industrial","Average","Yes",130.982177377461
43,"Married","Asian","College Grad","Information","Good","Yes",154.68529299563
50,"Divorced","White","HS Grad","Information","Average","Yes",75.0431540173515
54,"Married","White","College Grad","Information","Good","Yes",127.115743812184
44,"Married","Other","Some College","Industrial","Good","Yes",169.528538036679
30,"Never Married","Asian","Some College","Information","Average","Yes",111.720849360989
41,"Never Married","Black","Some College","Information","Good","Yes",118.884359339886
52,"Married","White","HS Grad","Information","Good","Yes",128.680488220624
45,"Divorced","White","Some College","Information","Average","Yes",117.146816914805
34,"Married","White","HS Grad","Industrial","Good","No",81.2832532842527
35,"Never Married","White","HS Grad","Information","Good","Yes",89.4924795180001
39,"Married","White","College Grad","Industrial","Good","Yes",134.705375118879
54,"Married","White","HS Grad","Information","Good","Yes",134.705375118879
51,"Married","White","Some College","Industrial","Good","Yes",90.4819133566401
37,"Never Married","Asian","College Grad","Industrial","Good","No",82.6796372966372
50,"Married","White","Advanced Degree","Information","Good","No",212.842352315711
56,"Married","White","College Grad","Industrial","Average","Yes",129.156693004704
37,"Never Married","White","Some College","Industrial","Good","Yes",98.5993438603892
38,"Married","Asian","College Grad","Information","Good","No",200.543262324662
40,"Divorced","White","HS Grad","Information","Good","No",50.406660861266
75,"Married","White","College Grad","Industrial","Good","Yes",85.3839403789827
40,"Married","White","College Grad","Information","Good","No",160.642475408263
38,"Never Married","White","HS Grad","Industrial","Average","No",94.0727147457005
49,"Married","White","Advanced Degree","Information","Good","Yes",277.601417511009
43,"Married","White","HS Grad","Industrial","Average","Yes",84.0459576539924
34,"Married","Other","HS Grad","Industrial","Average","Yes",65.1108537153447
57,"Married","White","HS Grad","Industrial","Good","No",116.265324062503
18,"Never Married","Black","HS Grad","Industrial","Good","Yes",70.4760196469445
55,"Married","White","Advanced Degree","Information","Good","Yes",195.676307990453
51,"Married","White","Some College","Information","Good","Yes",101.402052302992
33,"Never Married","White","Advanced Degree","Industrial","Good","No",81.2832532842527
34,"Never Married","White","HS Grad","Industrial","Good","No",111.720849360989
36,"Married","White","College Grad","Information","Good","Yes",89.8800467811106
56,"Never Married","White","Advanced Degree","Information","Average","Yes",87.9810327856054
70,"Never Married","White","College Grad","Industrial","Average","Yes",87.9810327856054
25,"Never Married","White","College Grad","Industrial","Good","Yes",103.90247060316
32,"Married","White","Some College","Industrial","Good","No",105.927810775063
27,"Married","White","non HS Grad","Industrial","Good","No",66.2294082943902
28,"Married","Asian","College Grad","Industrial","Good","No",34.6074177301288
